form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,paradigm_tag,source,page,language_id
komlitan120,mu,3.sg.2.sg.fut.neg,ni-mu-no-ning,ni-Σ-no-ning,ni+Σ+no+ni+ng,n i Σ n o n i ŋ,n i + Σ + n o + n i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan121,mu,3.sg.2.pl.fut.neg,ni-mu-no-ning,ni-Σ-no-ning,ni+Σ+no+ni+ng,n i Σ n o n i ŋ,n i + Σ + n o + n i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan122,mu,3.pl.2.sg.fut.neg,ni-mu-no-ni-u,ni-Σ-no-ni-u,ni+Σ+no+ni+u,n i Σ n o n i u,n i + Σ + n o + n i + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan123,mu,3.pl.2.pl.fut.neg,ni-mu-no-ni-u,ni-Σ-no-ni-u,ni+Σ+no+ni+u,n i Σ n o n i u,n i + Σ + n o + n i + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan124,mu,3.sg.3.sg.fut.neg,mu-no-ning,Σ-no-ning,Σ+no+ni+ng,Σ n o n i ŋ,Σ + n o + n i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan125,mu,3.sg.3.pl.fut.neg,mu-no-ning,Σ-no-ning,Σ+no+ni+ng,Σ n o n i ŋ,Σ + n o + n i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan126,mu,3.pl.3.sg.fut.neg,mu-no-ni-u,Σ-no-ni-u,Σ+no+ni+u,Σ n o n i u,Σ + n o + n i + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan127,mu,3.pl.3.sg.fut.neg,mu-no-na-u,Σ-no-na-u,Σ+no+na+u,Σ n o n a u,Σ + n o + n a + u,informal,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan128,mu,3.pl.3.pl.fut.neg,mu-no-ni-u,Σ-no-ni-u,Σ+no+ni+u,Σ n o n i u,Σ + n o + n i + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan129,che,1.sg.nfut.aff,ki-che,ki-Σ,ki+Σ,k i Σ,k i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan130,che,1.pl.excl.nfut.aff,kin-che,kin-Σ,ki+n+Σ,k i n Σ,k i + n + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan131,che,1.pl.incl.nfut.aff,nin-che,nin-Σ,ni+n+Σ,n i n Σ,n i + n + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan132,mu,1.sg.2.sg.nfut.aff,ki-ni-mu,ki-ni-Σ,ki+ni+Σ,k i n i Σ,k i + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan133,mu,1.sg.2.pl.nfut.aff,ki-ni-mu,ki-ni-Σ,ki+ni+Σ,k i n i Σ,k i + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan134,mu,1.pl.excl.2.sg.nfut.aff,kin-ni-mu,kin-ni-Σ,ki+n+ni+Σ,k i n n i Σ,k i + n + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan135,mu,1.pl.excl.2.pl.nfut.aff,kin-ni-mu,kin-ni-Σ,ki+n+ni+Σ,k i n n i Σ,k i + n + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan136,mu,1.sg.3.sg.nfut.aff,ki-mu,ki-Σ,ki+Σ,k i Σ,k i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan137,mu,1.sg.3.pl.nfut.aff,ki-mu,ki-Σ,ki+Σ,k i Σ,k i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan138,mu,1.pl.excl.3.sg.nfut.aff,kin-mu,kin-Σ,ki+n+Σ,k i n Σ,k i + n + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan139,mu,1.pl.incl.3.sg.nfut.aff,nin-mu,nin-Σ,ni+n+Σ,n i n Σ,n i + n + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
